TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;
;;;;;
MONTMELO-PAPIOL A-7;;;;;
;;;;;
;;;;;
Jul;25;60.097;1,3;10.400;5,6
Jun;25;50.823;4,5;13.362;6,6
May;25;48.377;2,5;14.873;12,9
Abr;25;47.966;6,1;10.898;-6,4
Mar;25;45.527;0,7;15.798;19,1
Feb;25;43.676;2,6;15.460;5,2
Ene;25;41.736;5,9;14.299;13,9
1994 Dic;25;44.017;5,1;13.672;9,9
Nov;25;44.696;3,6;16.055;8,8
Oct;25;45.127;4;13.082;11,5
Sep;25;48.950;3,3;11.459;10,2
Ago;25;52.784;1,2;5.859;11,9
Jul;25;59.319;4,4;9.847;6,9
Jun;25;48.636;3,4;12.533;9,3
May;25;47.188;3,8;13.170;13,6
Abr;25;45.196;-2,8;11.647;7,7
Mar;25;45.212;3,2;13.265;-7,8
Feb;25;42.553;0,2;14.702;-0,9
Ene;25;39.395;-2,1;12.551;-5,5
1993 Dic;25;41.877;-2,6;12.442;-3,1
Nov;25;43.159;-1,5;14.760;-2,9
Oct;25;43.373;-4,9;11.732;-9,4
Sep;25;47.406;-1,8;10.401;-2,6
Ago;25;52.157;-1,3;5.237;-4
Jul;25;56.842;-2,1;9.208;-12,9
Jun;25;47.027;-5,8;11.470;-8,2
May;25;45.471;-9,2;11.591;-12,2
Abr;25;46.482;-14,1;10.816;-14,1
Mar;25;43.820;-18,9;14.386;-7,1
Feb;25;42.452;-19;14.837;-3,7
Ene;25;40.234;-15,9;13.281;-8,9
1992 Dic;25;43.009;-11,4;12.834;2,1
Nov;25;43.825;-15,4;15.203;-0,1
Oct;25;45.605;-13,5;12.943;-10,1
Sep;25;48.283;-11,8;10.680;-6
Ago;25;52.845;-10,4;5.454;-12,9
Jul;25;58.086;-12,7;10.566;-14,2
Jun;25;49.923;-15,5;12.496;-1,9
May;25;50.080;-10,4;13.196;-7
Abr;25;54.084;-2,1;12.596;-14
Mar;25;54.044;1,9;15.478;23,1
Feb;25;52.380;6;15.410;0,9
Ene;25;47.836;0,9;14.585;-2,2
1991 Dic;25;48.532;1,2;12.570; 
Nov;25;51.821;1,1;15.215;-5,1
Oct;25;52.720;2,9;14.393;6,9
Sep;25;54.732;3,5;11.357;7,5
Ago;25;58.987;3,8;6.259;1,1
Jul;25;66.556;3,5;12.313;13,9
Jun;25;59.091;2,9;12.734;1,4
May;25;55.862;4,2;14.183;-0,6
Abr;25;55.233;3,6;14.648;27,1
Mar;25;53.062;5,7;12.576;-10,3
Feb;25;49.438;10;15.266;16
Ene;25;47.432;11,2;14.908;15,3
1990 Dic;25;47.977; ;12.570; 
Nov;25;51.255; ;16.038; 
Oct;25;51.255; ;13.465; 
Sep;25;52.860; ;10.567; 
Ago;25;56.812; ;6.193; 
Jul;25;64.321; ;10.806; 
Jun;25;57.431; ;12.554; 
May;25;53.600; ;14.263; 
Abr;25;53.338; ;11.526; 
Mar;25;50.189; ;14.013; 
Feb;25;44.945; ;13.160; 
Ene;25;42.640; ;12.933; 
;;;;;
;;;;;
"""Fuente: M.Fomento""";;;;;
;;;;;
Variación respecto al mismo periodo del año anterior;;;;;
;;;;;
*;;;;;
